GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "19000","Iowa",4,SAACARTSCOMP,1,"...","Total compensation ","Thousands of dollars",53031414,54059523,56041003,59524271,62376868,65573779,69114816,71733737,70657800,71892022,74115522,77838948,80033498,84338972,87449031,90079109,92662351,96352602,98502956,100037766,105547578,112571701,117810058
 "19000","Iowa",4,SAACARTSCOMP,10,"...","Total ACPSA compensation ","Thousands of dollars",1881756,1931756,1894623,1900307,1891080,1937261,1916177,1929153,1916807,2000199,2072845,2056109,2001073,2088063,2144223,2240148,2289765,2397879,2399137,2401912,2511041,2658947,2711102
 "19000","Iowa",4,SAACARTSCOMP,100,"..."," Core arts and cultural production ","Thousands of dollars",209450,217955,216760,224668,233389,245574,264924,273929,270730,269146,286095,315886,301802,335161,340799,362618,371107,386963,392058,389831,395119,450829,472166
 "19000","Iowa",4,SAACARTSCOMP,111,"...","  Performing arts companies ","Thousands of dollars",(D),9875,9480,15103,14418,12616,12325,(D),(D),(D),(D),(D),(D),(D),15854,20280,20834,22588,(D),20125,(D),20010,24032
 "19000","Iowa",4,SAACARTSCOMP,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",5227,8502,7103,6520,5673,11120,12838,14291,18137,15427,19522,21345,21923,23891,24722,27290,27706,31299,34264,27057,26480,41709,48739
 "19000","Iowa",4,SAACARTSCOMP,113,"...","  Agents/managers for artists ","Thousands of dollars",580,834,817,660,223,182,170,167,194,319,543,131,546,192,206,177,274,301,241,163,228,1931,2391
 "19000","Iowa",4,SAACARTSCOMP,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",7718,6943,5804,5094,8810,9521,10149,13890,9939,8841,9067,9598,8278,7607,7692,8144,6885,7538,9352,9639,10555,15378,12484
 "19000","Iowa",4,SAACARTSCOMP,120,"...","  Museums ","Thousands of dollars",7431,10684,10096,10598,12339,14356,15646,17281,18194,16540,17092,23377,27253,29099,26296,30262,31974,33197,32712,39260,32836,33180,39216
 "19000","Iowa",4,SAACARTSCOMP,131,"...","  Advertising ","Thousands of dollars",35141,34022,35879,40567,43884,46770,53321,55901,51344,55917,61675,66361,66948,(D),76994,82217,92113,91439,(D),(D),(D),106513,110633
 "19000","Iowa",4,SAACARTSCOMP,132,"...","  Architectural services ","Thousands of dollars",41358,43385,46185,49056,53742,51422,59483,59091,54799,53910,58118,54833,57044,61428,65895,65695,66408,69723,70186,72210,79779,82747,84568
