GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "01000","Alabama",5,SAACARTSEMP,1,"...","Total employment ","Number of jobs",1988175,1971266,1965710,2000343,2036263,2073054,2095756,2075003,1968090,1949620,1949289,1963894,1979322,1996343,2025359,2050129,2073260,2098780,2126768,2044136,2095377,2154422,2202192
 "01000","Alabama",5,SAACARTSEMP,10,"...","Total ACPSA employment ","Number of jobs",76977,78398,74352,70546,70388,66973,64422,63581,60244,59672,59252,58349,58119,56938,56492,56551,57509,56958,56777,53086,53629,57788,61167
 "01000","Alabama",5,SAACARTSEMP,100,"..."," Core arts and cultural production ","Number of jobs",6035,6295,6269,6419,6476,6650,6579,6915,6980,6980,6895,6670,6663,6746,6745,6927,7284,7517,7574,6412,6693,7309,7638
 "01000","Alabama",5,SAACARTSEMP,111,"...","  Performing arts companies ","Number of jobs",383,381,352,313,320,336,339,335,338,311,339,352,357,402,380,383,(D),(D),369,(D),309,375,415
 "01000","Alabama",5,SAACARTSEMP,112,"...","  Promoters of performing arts and similar events ","Number of jobs",170,203,209,174,213,203,211,194,548,637,637,513,472,440,437,403,315,215,164,111,197,201,256
 "01000","Alabama",5,SAACARTSEMP,113,"...","  Agents/managers for artists ","Number of jobs",37,36,26,26,25,24,32,17,21,21,15,15,16,19,17,13,11,12,12,11,16,19,21
 "01000","Alabama",5,SAACARTSEMP,114,"...","  Independent artists, writers, and performers ","Number of jobs",223,183,186,193,212,217,178,210,213,213,178,165,177,161,187,301,373,429,410,200,223,305,313
 "01000","Alabama",5,SAACARTSEMP,120,"...","  Museums ","Number of jobs",533,888,(D),(D),(D),1077,(D),(D),(D),1057,(D),1050,1097,(D),(D),1291,1367,1437,1547,1061,1036,1281,1398
 "01000","Alabama",5,SAACARTSEMP,131,"...","  Advertising ","Number of jobs",1567,1442,1402,1587,1451,1366,1211,1339,1239,1297,1363,1309,(D),1328,1337,(D),1588,1630,1613,1323,1301,1387,1459
 "01000","Alabama",5,SAACARTSEMP,132,"...","  Architectural services ","Number of jobs",926,942,974,1012,1046,1081,1118,1139,1121,1039,976,964,952,931,907,899,940,1002,1047,1075,1123,1136,1181
