osm_id,name_en,match_quality,image_local,image_url,commons_page,license,credit
317231689,Palace of Ming and Qing Dynasties,direct,attraction_photos/317231689__20240111_Replica_of_the_Taihe_Hall_in_the_Hengdian_World_Studios.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/20240111_Replica_of_the_Taihe_Hall_in_the_Hengdian_World_Studios.jpg/640px-20240111_Replica_of_the_Taihe_Hall_in_the_Hengdian_World_Studios.jpg,https://commons.wikimedia.org/wiki/File:20240111%20Replica%20of%20the%20Taihe%20Hall%20in%20the%20Hengdian%20World%20Studios.jpg,CC BY-SA 4.0,Yumeto
419188975,Hengdian Ming-Qing Folk Residence Expo Town,none,,,,,
630397698,Huaxia Cultural Park,inferred,attraction_photos/630397698__Hengdian-_Three_Religious_Temple-China_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Hengdian-_Three_Religious_Temple-China_-_panoramio.jpg/640px-Hengdian-_Three_Religious_Temple-China_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File:Hengdian-%20Three%20Religious%20Temple-China%20-%20panoramio.jpg,CC BY 3.0,HALUK COMERTEL
630397701,Along the River During the Qingming Festival,direct,attraction_photos/630397701__Hengdian_World_Studios_001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Hengdian_World_Studios_001.jpg/640px-Hengdian_World_Studios_001.jpg,https://commons.wikimedia.org/wiki/File:Hengdian%20World%20Studios%20001.jpg,CC BY 2.0,"kanegen from Tokyo, Japan"
630397705,Qin Dynasty Palace,direct,attraction_photos/630397705__Unification_Hall_Palace_of_Emperor_Qin_Hengdian_World_Studios_(20250131150447).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Unification_Hall%2C_Palace_of_Emperor_Qin%2C_Hengdian_World_Studios_%2820250131150447%29.jpg/640px-Unification_Hall%2C_Palace_of_Emperor_Qin%2C_Hengdian_World_Studios_%2820250131150447%29.jpg,https://commons.wikimedia.org/wiki/File:Unification%20Hall%2C%20Palace%20of%20Emperor%20Qin%2C%20Hengdian%20World%20Studios%20%2820250131150447%29.jpg,CC BY-SA 4.0,N509FZ
974859367,Hengdian New Yuanmingyuan - Garden of Eternal Spring,inferred,attraction_photos/974859367__20240112_Xieqiqu_Hengdian_Yingshicheng.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/20240112_Xieqiqu%2C_Hengdian_Yingshicheng.jpg/640px-20240112_Xieqiqu%2C_Hengdian_Yingshicheng.jpg,https://commons.wikimedia.org/wiki/File:20240112%20Xieqiqu%2C%20Hengdian%20Yingshicheng.jpg,CC BY-SA 4.0,Yumeto
974859368,Hengdian New Yuanmingyuan - Garden of Beautiful Spring (Autumn Garden),inferred,attraction_photos/974859368__20240112_Haiyan_Tang_Hengdian_Yingshicheng.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/20240112_Haiyan_Tang%2C_Hengdian_Yingshicheng.jpg/640px-20240112_Haiyan_Tang%2C_Hengdian_Yingshicheng.jpg,https://commons.wikimedia.org/wiki/File:20240112%20Haiyan%20Tang%2C%20Hengdian%20Yingshicheng.jpg,CC BY-SA 4.0,Yumeto
974859369,Hengdian New Yuanmingyuan,direct,attraction_photos/974859369__20240112_Yuanming_Xinyuan_(093439).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/20240112_Yuanming_Xinyuan_%28093439%29.jpg/640px-20240112_Yuanming_Xinyuan_%28093439%29.jpg,https://commons.wikimedia.org/wiki/File:20240112%20Yuanming%20Xinyuan%20%28093439%29.jpg,CC BY-SA 4.0,Yumeto
974860832,The Dream Valley,direct,attraction_photos/974860832__Jinniu_Bridge_at_Dream_Valley_Hengdian_World_Studios_(20250131164136).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Jinniu_Bridge_at_Dream_Valley%2C_Hengdian_World_Studios_%2820250131164136%29.jpg/640px-Jinniu_Bridge_at_Dream_Valley%2C_Hengdian_World_Studios_%2820250131164136%29.jpg,https://commons.wikimedia.org/wiki/File:Jinniu%20Bridge%20at%20Dream%20Valley%2C%20Hengdian%20World%20Studios%20%2820250131164136%29.jpg,CC BY-SA 4.0,N509FZ
1007605005,Hengdian Film and Television Industry Park,direct,attraction_photos/1007605005__Drama_filming_at_Hengdian_World_Studios.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Drama_filming_at_Hengdian_World_Studios.jpg/640px-Drama_filming_at_Hengdian_World_Studios.jpg,https://commons.wikimedia.org/wiki/File:Drama%20filming%20at%20Hengdian%20World%20Studios.jpg,CC BY-SA 4.0,Whisper of the heart
1007605015,Canton Street. Hongkong Street.,direct,attraction_photos/1007605015__Hengdian_World_Studios_007.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Hengdian_World_Studios_007.jpg/640px-Hengdian_World_Studios_007.jpg,https://commons.wikimedia.org/wiki/File:Hengdian%20World%20Studios%20007.jpg,CC BY 2.0,"kanegen from Tokyo, Japan"
1007605023,Tang-Song Mansion · Period Sets,none,,,,,
1007605026,Dream Bund Film and Television Theme Park,direct,attraction_photos/1007605026__Entrance_of_Legend_of_Bund_Hengdian_World_Studios_(20250130180600).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Entrance_of_Legend_of_Bund%2C_Hengdian_World_Studios_%2820250130180600%29.jpg/640px-Entrance_of_Legend_of_Bund%2C_Hengdian_World_Studios_%2820250130180600%29.jpg,https://commons.wikimedia.org/wiki/File:Entrance%20of%20Legend%20of%20Bund%2C%20Hengdian%20World%20Studios%20%2820250130180600%29.jpg,CC BY-SA 4.0,N509FZ
1491747837,Hengdian New Yuanmingyuan - Garden of Joyful Spring (Winter Garden),inferred,attraction_photos/1491747837__20240112_Chunhua_Men_Hengdian_Yingshicheng.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/20240112_Chunhua_Men%2C_Hengdian_Yingshicheng.jpg/640px-20240112_Chunhua_Men%2C_Hengdian_Yingshicheng.jpg,https://commons.wikimedia.org/wiki/File:20240112%20Chunhua%20Men%2C%20Hengdian%20Yingshicheng.jpg,CC BY-SA 4.0,Yumeto
1491758023,Hengdian National Defense Science and Technology Education Park,none,,,,,
1491758024,Dream Spring Valley Hot Spring Resort,none,,,,,
1491758025,Hengdian Red Army Long March Expo Town,none,,,,,
