imdb_id,title,year,top250_rank,shorthand,source_url,clean_html_path,json_path,director,locations,image_count
tt0022100,M,1931,147,M,http://www.movie-locations.com/movies/m/M.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0022100 - M.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0022100.json,Fritz Lang,Germany,1
tt0031381,Gone With The Wind,1939,202,Gone-With-The-Wind,http://www.movie-locations.com/movies/g/Gone-With-The-Wind.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0031381 - Gone-With-The-Wind.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0031381.json,Victor Fleming | George Cukor | Sam Wood,"Los Angeles, California; | Arkansas",3
tt0032553,The Great Dictator,1940,97,Great-Dictator,http://www.movie-locations.com/movies/g/Great-Dictator.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0032553 - Great-Dictator.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0032553.json,Charles Chaplin,"Los Angeles, California",2
tt0033467,Citizen Kane,1941,198,Citizen-Kane,http://www.movie-locations.com/movies/c/Citizen-Kane.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0033467 - Citizen-Kane.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0033467.json,Orson Welles,"Los Angeles, California",6
tt0034583,Casablanca,1942,61,Casablanca,http://www.movie-locations.com/movies/c/Casablanca.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0034583 - Casablanca.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0034583.json,Michael Curtiz,"Los Angeles, California",2
tt0036775,Double Indemnity,1944,148,Double-Indemnity,http://www.movie-locations.com/movies/d/Double-Indemnity.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0036775 - Double-Indemnity.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0036775.json,Billy Wilder,"Los Angeles, California",2
tt0038650,It's A Wonderful Life,1946,37,Its-A-Wonderful-Life,http://www.movie-locations.com/movies/i/Its-A-Wonderful-Life.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0038650 - Its-A-Wonderful-Life.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0038650.json,Frank Capra,"Los Angeles, California",3
tt0042192,All About Eve,1950,217,All-About-Eve,http://www.movie-locations.com/movies/a/All-About-Eve.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0042192 - All-About-Eve.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0042192.json,Joseph L Mankiewicz,"Los Angeles, California | San Francisco, California | New York; | Connecticut",4
tt0047396,Rear Window,1954,91,Rear-Window,http://www.movie-locations.com/movies/r/Rear-Window.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0047396 - Rear-Window.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0047396.json,Alfred Hitchcock,"Los Angeles, California",1
tt0050083,12 Angry Men,1987,9,12-Angry-Men,http://www.movie-locations.com/movies/0/12-Angry-Men.php,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/html/tt0050083 - 12-Angry-Men.html,/Users/pleiadesm./Downloads/IMDB-Terminal/IMDB/movie_locations_corpus/json/tt0050083.json,Sidney Lumet,New York,2
