GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "19000","Iowa",4,SAACARTSEMP,1,"...","Total employment ","Number of jobs",1522116,1507629,1500028,1521703,1545572,1568811,1579980,1586313,1540966,1535676,1551059,1570558,1592628,1607512,1627098,1633480,1630254,1638406,1645992,1566086,1595863,1627357,1646533
 "19000","Iowa",4,SAACARTSEMP,10,"...","Total ACPSA employment ","Number of jobs",67960,67545,63880,62182,60445,58992,57477,56831,54784,54517,54976,53849,51982,51764,51107,51762,47304,47884,47680,44060,44755,46817,48290
 "19000","Iowa",4,SAACARTSEMP,100,"..."," Core arts and cultural production ","Number of jobs",6360,6289,6106,6236,6192,6519,6587,6807,6699,6508,6781,6898,6883,7091,7120,7379,7287,7396,7470,6491,6707,7342,7503
 "19000","Iowa",4,SAACARTSEMP,111,"...","  Performing arts companies ","Number of jobs",(D),271,269,288,301,295,304,(D),(D),(D),(D),(D),(D),(D),370,356,397,429,(D),268,(D),376,427
 "19000","Iowa",4,SAACARTSEMP,112,"...","  Promoters of performing arts and similar events ","Number of jobs",291,234,171,167,158,426,439,433,494,355,498,471,526,523,547,530,497,532,557,367,449,538,569
 "19000","Iowa",4,SAACARTSEMP,113,"...","  Agents/managers for artists ","Number of jobs",17,37,29,21,6,6,4,5,6,10,9,3,15,3,4,4,5,5,4,2,3,19,23
 "19000","Iowa",4,SAACARTSEMP,114,"...","  Independent artists, writers, and performers ","Number of jobs",321,284,267,276,339,287,293,393,416,354,346,465,348,392,413,551,398,415,410,223,234,348,346
 "19000","Iowa",4,SAACARTSEMP,120,"...","  Museums ","Number of jobs",637,688,712,738,769,822,830,875,834,815,822,849,938,954,944,978,1009,1028,1012,825,961,1036,1088
 "19000","Iowa",4,SAACARTSEMP,131,"...","  Advertising ","Number of jobs",1666,1522,1464,1539,1434,1366,1389,1438,1278,1319,1397,1429,1345,(D),1483,1486,1543,1501,(D),(D),(D),1389,1424
 "19000","Iowa",4,SAACARTSEMP,132,"...","  Architectural services ","Number of jobs",563,621,610,642,664,652,677,690,721,770,787,744,742,748,761,745,713,693,718,691,718,761,793
 "19000","Iowa",4,SAACARTSEMP,133,"...","  Landscape architectural services ","Number of jobs",178,152,118,94,99,102,(D),79,100,89,74,83,79,79,78,78,60,63,68,70,73,69,73
 "19000","Iowa",4,SAACARTSEMP,134,"...","  Interior design services ","Number of jobs",83,72,75,96,91,93,89,95,92,86,83,82,92,112,129,136,132,139,127,125,139,154,168
 "19000","Iowa",4,SAACARTSEMP,135,"...","  Industrial design services ","Number of jobs",67,(D),(D),(D),137,170,192,208,220,248,230,229,213,234,185,173,186,175,169,171,168,225,235
 "19000","Iowa",4,SAACARTSEMP,136,"...","  Graphic design services ","Number of jobs",252,257,272,264,269,295,325,344,301,269,320,268,300,311,324,335,361,399,389,383,411,425,463
 "19000","Iowa",4,SAACARTSEMP,137,"...","  Computer systems design ","Number of jobs",(D),(D),(D),61,62,71,79,81,87,114,127,140,170,165,173,182,132,125,116,105,95,129,128
 "19000","Iowa",4,SAACARTSEMP,138,"...","  Photography and photofinishing services ","Number of jobs",399,399,401,414,410,417,(D),(D),(D),(D),(D),(D),(D),447,463,484,485,494,474,(D),449,479,431
 "19000","Iowa",4,SAACARTSEMP,139,"...","  All other design services ","Number of jobs",66,(D),(D),(D),9,11,9,9,9,12,7,8,9,9,10,12,15,16,11,11,15,16,17
 "19000","Iowa",4,SAACARTSEMP,140,"...","  Fine arts education ","Number of jobs",328,345,368,407,415,452,425,421,396,392,387,399,431,466,452,476,484,512,517,527,514,552,596
 "19000","Iowa",4,SAACARTSEMP,150,"...","  Education services ","Number of jobs",1147,1227,1137,1063,1029,1054,998,958,911,855,899,929,829,797,784,853,871,870,929,919,816,826,722
