imdb_id,top250_rank,title,year,imdb_rating,votes,runtime_minutes,genre,director,cast,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11,box_office_usd,box_office_raw,box_office_source
tt0111161,1,The Shawshank Redemption,1994,9.3,3182733,142,Drama,Frank Darabont,,Ohio,Virgin Islands,,,,,,,,,,73300000,$73.3 million,https://en.wikipedia.org/wiki/The_Shawshank_Redemption_(1994_film)
tt0068646,2,The Godfather,1972,9.2,2222855,175,Crime,Francis Ford Coppola,,New York,"Los Angeles, California",Nevada,Italy,,,,,,,,250000000,$250–291 million,https://en.wikipedia.org/wiki/The_Godfather_(1972_film)
tt0468569,3,The Dark Knight,2008,9.1,3161984,152,Action,Christopher Nolan,,"Chicago, Illinois",London,Bedfordshire,China,,,,,,,,1009000000,$1.009 billion,https://en.wikipedia.org/wiki/The_Dark_Knight_(2008_film)
tt0252487,4,The Chaos Class,1975,9.1,46127,85,Comedy,Ertem Egilmez,,,,,,,,,,,,,,,
tt33175825,5,Attack on Titan: The Last Attack,2024,9.1,27443,145,Action,Yûichirô Hayashi,,,,,,,,,,,,,,,
tt0167260,6,The Lord of the Rings: The Return of the King,2003,9.0,2161551,201,Adventure,Peter Jackson,,New Zealand,,,,,,,,,,,1148000000,$1.148 billion,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King_(film)
tt0108052,7,Schindler's List,1993,9.0,1583450,195,Biography,Steven Spielberg,,,,,,,,,,,,,322200000,$322.2 million,https://en.wikipedia.org/wiki/Schindler%27s_List_(film)
tt0071562,8,The Godfather Part II,1974,9.0,1493276,202,Crime,Francis Ford Coppola,,New York,California,Nevada,Florida,Italy,Dominican Republic,,,,,,93000000,$93 million,https://en.wikipedia.org/wiki/The_Godfather_Part_II
tt0050083,9,12 Angry Men,1957,9.0,982453,96,Crime,Sidney Lumet,,New York,,,,,,,,,,,2000000,$2 million (rentals),https://en.wikipedia.org/wiki/12_Angry_Men_(1957_film)
tt0120737,10,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2203274,178,Adventure,Peter Jackson,,New Zealand,,,,,,,,,,,897000000,$897 million,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring_(film)
tt11989890,11,David Attenborough: A Life on Our Planet,2020,8.9,36055,83,Biography,Alastair Fothergill | Jonathan Hughes | Keith Scholey,,,,,,,,,,,,,,,
tt5354160,12,Mirror Game,2016,8.9,30968,147,Crime,Amitabh Reza Chowdhury,,,,,,,,,,,,,,,
tt0253828,13,Tosun Pasha,1976,8.9,26346,90,Comedy,Kartal Tibet,,,,,,,,,,,,,,,
