fiscal_year,category,title,director,starring,network_studio
2022,Feature Film,A California Christmas: City Lights,Shaun Paul Piccinino,Lauren Swickard; Josh Swickard,
2022,Feature Film,Dope Queens,Grafton Reyes Doyle,Alexandra Grey; Pierson Fodè; Trace Lysette,
2022,Feature Film,Earth Mama,Savanah Leaf,Tia Nomore; Erika Alexander; Doechii; Sharon Duncan-Brewster,
2022,Feature Film,Fairyland,Andrew Durham,Emilia Jones; Scoot McNairy; Geena Davis,
2022,Feature Film,Fremont,Babak Jalali,Anaita Wali Zada; Jeremy Allen White; Gregg Turkington,
2022,Feature Film,"Goodbye, Mr. Chips",Brian Staufenbiel,Nathan Granner; Marnie Breckenridge; Lester Lynch; Kevin Short,
2022,TV Series,Blindspotting Season 2,Rafael Casal; Daveed Diggs,Jasmine Cephas Jones; Jaylen Barron; Candace Nicholas-Lippman; Helen Hunt,Starz
2022,TV Series,Chef Dynasty: House of Fang,,Kathy Fang; Peter Fang,Food Network
2022,TV Series,I'm A Virgo,Boots Riley,Jharrel Jerome,Amazon
2022,TV Series,Super Pumped: The Battle for Uber,,Joseph Gordon-Levitt; Kyle Chandler; Uma Thurman,Showtime
2022,TV Series,Surface,,Gugu Mbatha-Raw; Oliver Jackson-Cohen; Ari Graynor,Apple
2022,TV Series,This Is Us,,Milo Ventimiglia; Mandy Moore; Sterling K. Brown; Chrissy Metz,NBCUniversal
2022,Still Photo,Athleta,,,
2022,Still Photo,Autodesk,,,
2022,Still Photo,Everlane,,,
2022,Still Photo,Hoka,,,
2022,Still Photo,Old Navy,,,
2022,Still Photo,Restoration Hardware,,,
2022,Still Photo,Rothy's,,,
2022,Commercial,Chevrolet,,,
2022,Commercial,Facebook,,,
2022,Commercial,Lexus,,,
2022,Commercial,Lincoln,,,
2022,Commercial,Marriott,,,
2022,Web,Danny MacAskill: Postcard From San Francisco,,,Red Bull
2022,Web,My Chinatown,,Martin Yan,
2022,Web,Calm,,,
2022,Web,Intel,,,
2022,Web,Varley,,,
2022,Web,Vionic,,,
2022,Web,Waymo,,,
2023,Feature Film,A Big Fat Family Christmas,Jennifer Liao,Shannon Chan-Kent; Shannon Kook; Jack Wagner; Tia Carrere,
2023,Feature Film,The Moon Is in Aquarius,Jesse Kuba,Destiny Ekwueme; Gary Moore,
2023,Feature Film,Close the Divide,Tom Acton,Tushar Choudhary; Jiaying Zhao; Peter Leyden,
2023,TV Series,I'm A Virgo,Boots Riley,Jharrel Jerome; Olivia Washington; Brett Gray,Amazon Studios
2023,TV Series,The Last Thing He Told Me,Laura Dave; Josh Singer,Jennifer Garner,Apple TV
2023,Commercial,AirBnB,Davis Guggenheim,Brian Chesky (AirBnB Founder/CEO),
2023,Commercial,Always San Francisco,,,SF Travel
2023,Commercial,Señor Sisig X P-LO,Maritte Lee Go,Mike Evans Jr.; Karen Hernandez-Torres,
2023,Commercial,Subway,Rick Famuyiwa,Steph Curry,
2023,Commercial,Target,Eva Kolenko,,
2023,Commercial,Honda,Brian Bacino,,
2023,Web Series,Sales are Dope,Stephen Ohl,Ross Pomerantz; Sara Kamine; Natalie Marie,
2023,Web Series,Lil Interns,Sophie Santos; Schuyler Hunt,Kenan Thompson,
2023,Short,The Deaf Club - Inside the Laundromat,Jules Dameron,,BAYCAT
2023,Short,Tonari,Ben Tarquin,Sophia Noel; Sayuri Hirayama,
2024,Feature Film,Dos Lados,Michel Franco,Jessica Chastain; Isaac Hernández,
2024,Feature Film,Lady Champagne,D'Arcy Drollinger,D'Arcy Drollinger; Seton Brown; Matthew Martin; Alaska; Peaches Christ,
2024,Feature Film,Splash City,Alex Ferrufino,Dylan Kenin; T.J. Atoms; Vivian Lamolli; Reed Shannon,
2024,Feature Film,Project Brick Breaker,Elena Oxman,Asia Kate-Dylan; Louisa Krause; Ridley Asha Bateman,
2024,Feature Film,Josephine,Beth de Araújo,Channing Tatum; Gemma Chan,
2024,TV Series,A Man on the Inside,Morgan Sackett,Ted Danson; Stephen McKinley Henderson; Lilah Richcreek Estrada; Kerry O'Malley; Shylo Shaner; Jama Williamson,
2024,TV Series,Mr. Throwback,David Caspe; Daniel Libman; Matthew Libman,Stephen Curry; Layla Scalisi; Adam Pally; Ego Nwodim; Ayden Mayari,
2024,TV Series,Amazing Train Journeys - California Coast,Nicolas Boero,Nicolas Boero; Philippe Gougler; Cédric Genet; Valérie Vuagnat,
2024,Music Video,"Mae Powell ""Where Does Love Go""",Patrick Sean Gibson,,
2024,Music Video,Paris '59,David Rouda,,
2024,Music Video,Q Project,James Mackel,,
2025,Feature Film,Late Twenty,Tim Murphy,Jenny Lange; Piper Verbrick,
2025,Feature Film,Unsavory Elements,Tom Carter,Bai Ling; Lawrence Kao; Shavvon Lin; Ezekiel Ajeigbe,
2025,Feature Film,The Invite,Olivia Wilde,Seth Rogen; Olivia Wilde; Penélope Cruz; Edward Norton,
2025,Feature Film,Lady Champagne,D'Arcy Drollinger,D'Arcy Drollinger; Matthew Martin; Ryan Patrick Welsh; Travis Rowland,
2025,Feature Film,The Yogi Trademark,Dan Damman; Chris K Thomas,Chloe Wepper; Jonathan Goldstein; Philip Smithey; Denis Ooi,
2025,Feature Film,Josephine,Beth de Araújo,Channing Tatum; Gemma Chan,
2025,TV Series,A Man on the Inside,Morgan Sackett,Ted Danson,
